viaf,birthdate,deathdate,nationality_of_origin,gender
http://viaf.org/viaf/95207986,1850-11-13,1894-12-03,GB,b
http://viaf.org/viaf/88666393,1812-02-07,1870-06-09,GB,b
http://viaf.org/viaf/102333412,1775-12-16,1817-07-18,GB,a
http://viaf.org/viaf/49222478,1771-01-17,1810-02-22,US,b
http://viaf.org/viaf/39377536,1810-09-29,1865-11-12,GB,a
http://viaf.org/viaf/89000553,1819-11-22,1880-12-22,GB,a
